,LATITUDE,LONGITUDE,CRASHES,LOG_CRASHES
94,40.58,-74.15,51,3.9318256327243257
95,40.58,-74.14,6,1.791759469228055
96,40.58,-74.13,116,4.7535901911063645
97,40.58,-74.12,83,4.418840607796598
98,40.58,-74.11,199,5.293304824724492
99,40.58,-74.1,327,5.7899601708972535
100,40.58,-74.09,78,4.356708826689592
101,40.58,-74.08,58,4.060443010546419
102,40.58,-74.07,2,0.6931471805599453
103,40.58,-74.01,33,3.4965075614664802
104,40.58,-74.0,187,5.231108616854587
105,40.58,-73.99,618,6.42648845745769
106,40.58,-73.98,840,6.733401891837359
107,40.58,-73.97,741,6.608000625296087
108,40.58,-73.96,1074,6.97914527506881
109,40.58,-73.95,477,6.1675164908883415
110,40.58,-73.94,142,4.955827057601261
111,40.58,-73.93,143,4.962844630259907
112,40.58,-73.92,111,4.709530201312334
113,40.58,-73.91,8,2.0794415416798357
114,40.58,-73.89,48,3.871201010907891
115,40.58,-73.86,23,3.1354942159291497
116,40.58,-73.85,79,4.3694478524670215
117,40.58,-73.84,185,5.220355825078324
118,40.58,-73.83,137,4.919980925828125
119,40.58,-73.82,89,4.48863636973214
120,40.58,-73.81,8,2.0794415416798357
121,40.59,-74.2,9,2.1972245773362196
122,40.59,-74.19,95,4.553876891600541
123,40.59,-74.18,1,0.0
124,40.59,-74.17,153,5.030437921392435
125,40.59,-74.16,164,5.099866427824199
126,40.59,-74.15,117,4.762173934797756
127,40.59,-74.14,42,3.7376696182833684
128,40.59,-74.13,13,2.5649493574615367
129,40.59,-74.11,47,3.8501476017100584
130,40.59,-74.1,207,5.332718793265369
131,40.59,-74.09,300,5.703782474656201
132,40.59,-74.08,61,4.110873864173311
133,40.59,-74.07,106,4.663439094112067
134,40.59,-74.06,20,2.995732273553991
135,40.59,-74.0,260,5.560681631015528
136,40.59,-73.99,494,6.202535517187923
137,40.59,-73.98,305,5.720311776607412
138,40.59,-73.97,546,6.302618975744905
139,40.59,-73.96,687,6.532334292222349
140,40.59,-73.95,690,6.536691597591305
141,40.59,-73.94,509,6.2324480165505225
142,40.59,-73.93,278,5.627621113690637
143,40.59,-73.92,32,3.4657359027997265
144,40.59,-73.91,256,5.545177444479562
145,40.59,-73.9,31,3.4339872044851463
146,40.59,-73.83,2,0.6931471805599453
147,40.59,-73.82,164,5.099866427824199
148,40.59,-73.81,250,5.521460917862246
149,40.59,-73.8,273,5.60947179518496
150,40.59,-73.79,253,5.53338948872752
151,40.59,-73.78,150,5.0106352940962555
152,40.59,-73.77,57,4.04305126783455
153,40.59,-73.76,53,3.970291913552122
154,40.59,-73.75,16,2.772588722239781
155,40.59,-73.74,1,0.0
156,40.6,-74.2,2,0.6931471805599453
157,40.6,-74.19,73,4.290459441148391
158,40.6,-74.18,71,4.2626798770413155
159,40.6,-74.17,35,3.5553480614894135
160,40.6,-74.16,122,4.804021044733257
161,40.6,-74.14,84,4.430816798843313
162,40.6,-74.13,139,4.9344739331306915
163,40.6,-74.12,83,4.418840607796598
164,40.6,-74.11,71,4.2626798770413155
165,40.6,-74.1,38,3.6375861597263857
166,40.6,-74.09,198,5.288267030694535
167,40.6,-74.08,207,5.332718793265369
168,40.6,-74.07,275,5.616771097666572
169,40.6,-74.06,94,4.543294782270004
170,40.6,-74.03,63,4.143134726391533
171,40.6,-74.02,224,5.4116460518550396
172,40.6,-74.01,316,5.755742213586912
173,40.6,-74.0,858,6.754604099487962
174,40.6,-73.99,670,6.507277712385012
175,40.6,-73.98,429,6.061456918928017
176,40.6,-73.97,604,6.403574197934815
177,40.6,-73.96,435,6.075346031088684
178,40.6,-73.95,478,6.169610732491456
179,40.6,-73.94,436,6.077642243349034
180,40.6,-73.93,149,5.003946305945459
181,40.6,-73.92,2,0.6931471805599453
182,40.6,-73.91,213,5.3612921657094255
183,40.6,-73.9,93,4.532599493153256
184,40.6,-73.82,48,3.871201010907891
185,40.6,-73.8,56,4.02535169073515
186,40.6,-73.79,61,4.110873864173311
187,40.6,-73.78,117,4.762173934797756
188,40.6,-73.77,267,5.58724865840025
189,40.6,-73.76,567,6.340359303727752
190,40.6,-73.75,740,6.606650186198215
191,40.6,-73.74,93,4.532599493153256
192,40.61,-74.19,10,2.302585092994046
193,40.61,-74.18,121,4.795790545596741
194,40.61,-74.17,45,3.8066624897703196
195,40.61,-74.16,406,6.0063531596017325
196,40.61,-74.15,333,5.808142489980444
197,40.61,-74.14,204,5.318119993844216
198,40.61,-74.13,358,5.8805329864007
199,40.61,-74.12,411,6.018593214496234
200,40.61,-74.11,185,5.220355825078324
201,40.61,-74.1,384,5.950642552587727
202,40.61,-74.09,486,6.186208623900494
203,40.61,-74.08,391,5.968707559985366
204,40.61,-74.07,227,5.424950017481403
205,40.61,-74.06,66,4.189654742026425
206,40.61,-74.04,74,4.30406509320417
207,40.61,-74.03,413,6.023447592961033
208,40.61,-74.02,140,4.941642422609304
209,40.61,-74.01,448,6.104793232414985
210,40.61,-74.0,702,6.553933404025811
211,40.61,-73.99,573,6.35088571671474
212,40.61,-73.98,760,6.633318433280377
213,40.61,-73.97,724,6.584791392385716
214,40.61,-73.96,821,6.710523109452428
215,40.61,-73.95,546,6.302618975744905
216,40.61,-73.94,287,5.659482215759621
217,40.61,-73.93,386,5.955837369464831
218,40.61,-73.92,638,6.45833828334479
